gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
1,0,0,0,0,1,0,5622,1
1,0,1,0,0,1,0,815,0
1,0,0,1,0,1,28,0,1
1,0,0,1,0,1,135,1450,1
1,0,0,1,0,1,19,0,1
1,1,0,0,0,1,12,1167,1
1,1,0,0,0,1,252,10187,1
1,0,0,0,1,1,90,7334,1
0,0,0,0,1,1,408,9553,1
1,0,0,1,0,1,0,26,0
1,1,0,0,0,0,0,130,0
0,0,1,0,0,0,18,377,1
0,0,1,0,0,1,0,53,0
1,0,0,1,0,1,0,45,0
0,0,0,0,1,1,0,1773,0
1,0,0,0,0,1,30,5425,1
1,1,0,0,0,1,0,399,1
1,0,1,0,0,1,0,18,0
1,0,0,0,1,1,119,47,1
1,0,1,0,0,0,27,0,1
1,0,0,0,1,1,248,4727,1
1,0,0,0,1,1,42,38,1
0,0,0,1,0,1,0,14,0
1,0,1,0,0,1,0,2681,0
0,1,0,0,0,1,0,15,0
1,0,0,0,1,1,15,0,1
0,0,1,0,0,0,0,187,0
0,0,0,0,1,0,0,5136,0
0,0,0,0,0,1,0,67,0
1,0,1,0,0,1,26,0,1
0,0,1,0,0,0,36,966,1
1,0,0,1,0,1,641,2427,1
1,0,0,1,0,1,36,467,1
0,0,0,1,0,0,0,73,1
1,0,1,0,0,1,0,39,0
1,0,1,0,0,1,207,1016,1
0,0,1,0,0,1,0,279,0
1,0,0,1,0,1,143,197,1
0,0,0,0,1,1,13,2993,1
1,0,0,1,0,1,39,448,1
1,0,0,0,1,1,0,30,0
1,0,1,0,0,0,43,333,1
0,0,0,1,0,0,0,26,0
1,0,0,0,0,1,80,6839,1
0,1,0,0,0,0,11,0,1
0,0,1,0,0,1,0,33,0
0,0,1,0,0,0,0,15,0
1,1,0,0,0,1,0,14,0
1,0,0,0,1,1,0,451,0
1,1,0,0,0,1,0,20,0
1,0,0,1,0,1,0,1108,0
1,0,1,0,0,1,0,14,0
1,0,0,1,0,1,310,7065,1
0,0,0,0,1,1,16,86,1
1,0,0,1,0,0,0,65,0
1,1,0,0,0,1,122,2351,1
0,1,0,0,0,1,0,75,0
1,0,0,0,1,0,16,0,1
1,1,0,0,0,1,30,0,1
1,0,0,1,0,1,0,151,0
0,0,0,1,0,1,23,46,1
1,0,0,0,1,1,0,295,0
1,0,0,1,0,1,0,1295,1
1,0,0,1,0,1,13,51,1
1,0,0,1,0,1,0,38,1
1,0,1,0,0,1,0,12,0
1,0,0,1,0,1,17,225,1
1,0,1,0,0,0,302,82,1
1,0,1,0,0,1,120,288,1
1,0,0,1,0,1,73,56,1
1,0,0,1,0,1,128,3035,1
1,0,0,1,0,1,449,6783,1
0,1,0,0,0,0,50,240,1
1,0,0,1,0,1,109,135,1
1,0,1,0,0,1,11,6100,1
0,0,0,1,0,1,0,39,0
1,0,0,1,0,1,253,6013,1
1,0,0,0,1,1,11,0,1
