gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
1,0,0,0,1,1,16,1196,1
1,1,0,0,0,0,0,113,0
1,1,0,0,0,1,0,1090,1
1,1,0,0,0,1,0,35,0
1,0,1,0,0,1,0,12,0
1,0,1,0,0,1,64,18,1
0,0,1,0,0,1,0,42,0
1,0,0,1,0,1,169,427,1
1,0,0,0,1,1,207,7161,1
0,1,0,0,0,1,0,1060,0
0,1,0,0,0,1,12,70,1
0,0,0,0,1,1,42,53,1
0,0,0,1,0,0,41,817,1
0,1,0,0,0,1,0,422,1
1,0,1,0,0,1,0,20,0
1,1,0,0,0,1,0,14,0
1,0,0,0,1,0,19,54,1
1,0,0,0,1,1,16,115,1
1,0,0,0,0,0,0,106,0
1,1,0,0,0,1,37,25,1
0,1,0,0,0,0,18,260,1
1,0,0,0,1,1,101,6764,1
1,0,0,1,0,1,329,5751,1
1,0,0,1,0,0,0,17,0
1,0,0,1,0,1,50,29,1
0,0,0,0,1,1,98,151,1
1,0,1,0,0,0,16,123,1
0,1,0,0,0,1,0,36,0
0,0,1,0,0,0,53,168,1
1,0,0,1,0,1,549,16956,1
1,1,0,0,0,1,28,7993,1
1,0,0,1,0,1,138,1088,1
0,0,0,1,0,0,0,13,0
1,0,1,0,0,1,51,1430,1
1,0,0,0,1,1,0,52,0
1,0,0,0,1,0,61,37,1
1,0,0,1,0,1,217,1728,1
1,1,0,0,0,1,0,24,0
1,0,0,1,0,1,0,3267,0
1,1,0,0,0,1,46,0,1
1,0,0,1,0,1,0,105,1
1,0,1,0,0,1,0,457,0
1,0,0,1,0,0,81,36,1
1,0,0,1,0,1,0,51,0
1,0,1,0,0,1,29,598,1
1,0,1,0,0,1,78,3704,1
1,0,0,0,1,1,0,37,0
1,0,0,1,0,0,20,607,1
0,0,1,0,0,1,108,261,1
0,0,0,0,1,1,11,99,1
1,1,0,0,0,1,0,488,1
1,0,0,1,0,1,0,67,0
1,0,0,1,0,1,257,355,1
1,0,0,1,0,1,46,43,1
1,0,1,0,0,1,1009,19039,1
0,0,1,0,0,1,59,63,1
0,1,0,0,0,1,0,626,0
1,0,0,1,0,1,0,14,0
1,0,0,1,0,1,0,2400,0
1,0,1,0,0,0,294,519,1
1,0,0,0,1,1,0,160,0
0,0,0,0,1,0,13,0,1
0,1,0,0,0,1,0,44,0
1,0,0,0,1,1,0,12,0
1,1,0,0,0,1,0,181,0
1,0,1,0,0,1,13,0,1
1,0,0,1,0,1,18,16,1
0,0,0,1,0,0,444,8504,1
1,1,0,0,0,1,0,11,0
1,0,0,0,1,1,20,410,1
1,0,0,1,0,1,3472,1917,1
0,0,1,0,0,0,0,108,1
0,0,1,0,0,1,11,1297,1
0,0,0,1,0,0,82,1132,1
1,0,0,1,0,1,77,5826,1
0,1,0,0,0,0,25,97,1
1,1,0,0,0,1,0,74,0
0,0,1,0,0,0,0,11,0
1,0,1,0,0,1,0,102,0
1,0,0,1,0,1,80,2970,1
0,0,0,1,0,1,20,1051,1
1,0,0,1,0,0,99,57,1
1,0,0,1,0,1,39,147,1
1,0,1,0,0,1,88,1251,1
1,0,0,1,0,1,33,51,1
0,1,0,0,0,0,185,575,1
0,0,0,0,1,1,0,14,0
1,0,0,1,0,1,0,15,0
1,0,0,0,1,1,12,1638,1
1,0,0,1,0,1,2838,2934,1
0,0,1,0,0,1,0,37,1
1,0,1,0,0,0,0,23,0
0,1,0,0,0,0,98,480,1
1,0,1,0,0,1,67,387,1
1,0,1,0,0,1,129,41,1
1,0,1,0,0,1,773,11049,1
1,0,1,0,0,1,0,109,0
1,0,1,0,0,1,23,1379,1
1,0,0,1,0,1,0,1000,0
1,0,0,1,0,1,13,16,1
0,1,0,0,0,0,0,24,0
0,0,0,0,1,1,0,113,0
1,0,0,1,0,1,0,26,1
1,0,1,0,0,1,199,108,1
1,0,0,0,1,1,29,1695,1
0,0,1,0,0,0,143,2807,1
0,0,0,1,0,1,11,0,1
1,0,1,0,0,1,68,58,1
1,0,0,1,0,1,0,98,0
0,0,0,0,1,1,0,244,1
1,0,0,1,0,1,144,129,1
1,0,0,1,0,1,18,289,1
0,0,1,0,0,1,24,15,1
1,0,0,0,1,1,126,609,1
1,0,0,1,0,1,0,15,0
0,0,0,0,1,1,0,11,1
1,0,0,0,1,1,65,908,1
1,1,0,0,0,1,45,3308,1
1,0,0,1,0,1,27,11,1
1,0,0,0,1,1,897,12262,1
1,1,0,0,0,1,63,78,1
0,0,0,1,0,0,0,326,0
0,1,0,0,0,1,0,63,0
0,1,0,0,0,1,0,376,0
1,0,0,1,0,1,55,1056,1
1,0,0,0,0,1,0,196,0
1,0,1,0,0,1,30,11,1
0,0,0,1,0,0,0,864,1
1,0,0,1,0,1,776,12493,1
1,0,0,0,1,0,711,331,1
0,0,1,0,0,1,0,289,0
0,0,0,1,0,1,0,17,0
0,0,0,1,0,1,223,219,1
1,0,0,1,0,1,16,1988,1
1,0,0,1,0,1,558,3993,1
0,0,0,1,0,1,298,4526,1
0,1,0,0,0,1,0,25,0
0,0,0,0,1,1,520,8541,1
1,0,1,0,0,1,86,1052,1
0,0,0,1,0,0,0,14,0
0,0,0,0,1,1,0,18,1
0,0,1,0,0,1,0,78,0
1,0,0,1,0,1,0,2744,0
0,1,0,0,0,1,0,226,0
1,0,0,1,0,1,63,152,1
0,1,0,0,0,1,0,71,0
0,0,0,1,0,1,0,15,0
0,0,0,1,0,0,57,1706,1
0,1,0,0,0,0,36,576,1
0,1,0,0,0,1,241,5060,1
0,0,0,1,0,0,14,61,1
1,0,0,0,1,1,11,0,1
0,0,0,0,1,0,104,1848,1
0,0,1,0,0,1,114,1483,1
1,0,0,1,0,1,68,6753,1
1,0,0,1,0,1,0,170,0
1,0,0,1,0,1,0,221,0
1,0,0,0,1,1,178,3472,1
1,0,0,1,0,1,19,699,1
1,0,0,0,1,1,0,56,0
0,0,0,0,1,0,28,1429,1
0,0,0,1,0,1,0,139,1
1,0,0,0,1,1,0,49,0
0,0,1,0,0,1,0,507,0
1,0,0,1,0,1,0,161,0
1,1,0,0,0,1,0,27,0
1,1,0,0,0,1,21,118,1
1,0,0,1,0,1,17,2526,1
0,0,0,1,0,0,0,1629,0
1,0,0,1,0,0,13,51,1
1,0,0,0,1,0,0,52,0
1,1,0,0,0,1,0,417,0
0,1,0,0,0,0,0,51,0
1,0,1,0,0,1,24,71,1
1,1,0,0,0,1,21,0,1
1,0,0,1,0,1,122,94,1
0,0,1,0,0,1,309,2610,1
0,0,0,0,1,0,15,3600,1
1,0,0,0,1,0,13,34,1
0,0,1,0,0,0,0,12,0
1,1,0,0,0,1,0,192,0
1,0,0,0,1,1,315,4666,1
1,0,1,0,0,1,0,97,0
1,0,0,1,0,1,228,5785,1
1,0,0,1,0,1,13,0,1
1,0,1,0,0,1,25,0,1
1,0,0,1,0,1,0,1388,0
0,0,0,1,0,0,150,3537,1
0,0,1,0,0,1,24,80,1
1,0,0,1,0,1,68,1350,1
1,0,0,0,1,1,0,12,0
1,0,1,0,0,1,23,1401,1
1,0,0,0,1,1,0,639,0
0,1,0,0,0,1,0,15,0
1,0,0,1,0,1,296,6897,1
1,1,0,0,0,1,0,11,0
1,0,1,0,0,1,206,5356,1
0,0,1,0,0,1,0,35,0
1,0,1,0,0,1,171,1903,1
0,0,0,1,0,0,0,1595,0
1,0,1,0,0,1,200,2998,1
1,0,1,0,0,1,0,100,0
0,1,0,0,0,1,17,0,1
0,0,0,1,0,1,0,60,0
1,0,1,0,0,1,0,8992,0
1,0,1,0,0,1,1095,9765,1
0,0,0,1,0,1,0,56,0
0,0,0,0,0,1,11,170,1
1,0,0,1,0,1,239,3382,1
0,0,1,0,0,1,0,115,1
1,1,0,0,0,1,0,687,0
0,0,0,0,1,1,0,58,0
0,1,0,0,0,0,74,203,1
0,1,0,0,0,0,0,30,1
0,0,0,1,0,0,0,2070,0
1,1,0,0,0,1,316,6959,1
1,0,1,0,0,1,0,75,0
0,0,1,0,0,1,21,0,1
1,0,0,1,0,1,0,13,0
1,1,0,0,0,1,0,36,0
1,1,0,0,0,0,0,50,0
0,0,0,0,1,1,39,1365,1
0,1,0,0,0,0,0,61,0
1,0,0,0,1,1,46,55,1
1,1,0,0,0,1,22,34,1
1,1,0,0,0,0,0,14,0
1,0,0,0,1,1,0,14,0
1,0,1,0,0,1,0,79,0
0,1,0,0,0,0,0,13,0
1,1,0,0,0,1,0,221,0
0,0,0,0,0,1,109,2296,1
1,0,0,1,0,1,660,5618,1
1,0,0,0,0,1,0,16,0
1,0,0,1,0,1,45,150,1
1,0,0,0,1,0,100,1417,1
1,0,0,0,1,1,14,0,1
1,0,0,1,0,1,136,2205,1
0,0,0,1,0,1,0,28,0
1,0,0,1,0,1,200,75,1
1,0,1,0,0,1,0,45,1
0,1,0,0,0,1,0,14,0
1,0,1,0,0,0,0,57,0
0,0,0,0,1,1,34,25,1
1,0,0,1,0,1,0,332,0
1,0,0,0,1,1,36,12,1
0,0,0,0,1,1,0,27,0
1,0,0,0,1,1,0,53,0
0,0,1,0,0,0,185,106,1
1,1,0,0,0,1,17,198,1
1,1,0,0,0,1,16,0,1
1,0,0,1,0,1,23,21,1
0,0,0,1,0,1,0,203,0
1,0,0,1,0,1,0,1681,0
1,0,1,0,0,0,14,115,1
0,0,0,1,0,1,0,459,0
1,0,1,0,0,1,23,35,1
1,0,1,0,0,1,86,0,1
0,0,1,0,0,1,57,133,1
1,0,0,1,0,1,44,0,1
0,0,0,0,1,1,63,985,1
0,0,0,0,1,0,177,90,1
0,1,0,0,0,1,0,26,1
1,0,0,1,0,1,81,0,1
1,1,0,0,0,1,0,43,0
0,0,1,0,0,1,0,11,0
0,0,1,0,0,1,56,447,1
1,0,1,0,0,1,0,74,0
1,1,0,0,0,1,0,1939,0
1,1,0,0,0,0,0,683,0
1,0,0,0,1,1,601,395,1
0,0,0,1,0,1,0,325,0
1,0,1,0,0,1,0,51,0
0,0,0,1,0,0,0,78,0
1,0,0,1,0,1,1049,13347,1
0,0,0,0,1,1,13,0,1
0,0,0,1,0,0,137,906,1
1,0,0,0,1,1,101,404,1
0,0,0,1,0,0,0,12,0
0,0,0,0,1,1,0,343,0
1,0,0,1,0,1,126,8106,1
0,1,0,0,0,0,0,14,1
1,0,0,0,1,1,11,0,1
1,0,0,1,0,1,50,170,1
1,0,1,0,0,1,0,156,0
0,0,0,0,1,1,0,353,1
1,0,0,0,1,1,0,11,0
0,0,1,0,0,1,662,11004,1
0,0,0,0,1,0,143,1972,1
1,0,0,1,0,1,473,4189,1
1,0,1,0,0,1,0,93,0
1,0,0,0,1,1,13,262,1
0,1,0,0,0,1,54,911,1
1,0,0,1,0,1,0,41,0
1,0,0,0,1,1,0,246,0
1,0,0,1,0,1,0,11,0
0,0,0,1,0,0,282,4315,1
0,0,1,0,0,1,0,291,0
1,0,0,1,0,0,0,225,0
0,1,0,0,0,1,0,768,0
1,0,0,0,1,0,242,6058,1
1,0,1,0,0,0,0,717,0
0,0,0,1,0,1,339,2122,1
1,0,0,1,0,1,183,943,1
0,1,0,0,0,0,0,1329,0
1,0,0,1,0,0,0,29,0
0,1,0,0,0,1,0,840,0
1,1,0,0,0,0,0,37,1
1,0,0,0,1,1,17,0,1
1,0,0,0,1,1,24,11,1
1,0,0,0,1,1,160,2788,1
1,1,0,0,0,1,0,532,0
1,0,1,0,0,1,0,14,0
1,0,1,0,0,1,0,28,0
0,1,0,0,0,1,11,3071,1
0,0,0,0,1,0,25,0,1
1,0,1,0,0,1,0,830,0
1,0,1,0,0,0,0,55,0
1,0,1,0,0,0,0,132,1
0,0,1,0,0,0,0,111,0
1,0,0,0,1,1,0,14,0
1,1,0,0,0,1,44,4721,1
1,0,1,0,0,1,31,17,1
1,0,0,1,0,1,0,21,0
1,0,0,0,0,1,98,1136,1
1,1,0,0,0,1,0,3511,0
1,1,0,0,0,1,0,27,0
0,0,1,0,0,0,0,66,0
0,0,0,0,1,0,525,3880,1
1,0,0,1,0,1,12,50,1
1,0,1,0,0,1,0,41,0
1,1,0,0,0,1,12,334,1
1,0,0,0,1,1,0,313,0
1,1,0,0,0,1,0,358,0
1,0,0,0,1,1,180,3151,1
1,1,0,0,0,1,0,12,1
0,0,0,1,0,0,78,2550,1
1,0,0,0,1,1,0,146,0
0,0,0,1,0,0,23,288,1
0,0,0,0,1,0,182,59,1
0,0,0,0,1,0,0,15,0
1,0,1,0,0,0,33,0,1
1,0,0,1,0,1,0,65,0
1,1,0,0,0,1,124,7040,1
0,0,0,1,0,1,358,11123,1
1,0,1,0,0,1,348,116,1
1,0,0,0,1,1,11,434,1
1,0,1,0,0,1,11,227,1
1,0,1,0,0,1,68,29,1
1,1,0,0,0,1,0,20,0
1,0,0,0,1,1,17,215,1
1,0,1,0,0,1,24,0,1
1,0,0,1,0,1,447,7590,1
1,0,0,0,1,1,0,30,0
1,0,0,1,0,1,137,2868,1
0,0,0,1,0,0,0,147,0
1,0,1,0,0,1,0,33,0
0,0,0,0,1,0,0,54,0
1,0,0,0,1,1,0,419,0
0,0,0,1,0,0,0,57,0
0,0,1,0,0,0,0,23,0
0,1,0,0,0,0,0,17,0
0,0,1,0,0,1,0,2549,0
1,0,0,1,0,1,0,618,0
0,0,0,0,1,0,0,107,1
1,0,0,0,1,0,0,69,0
1,0,0,1,0,1,13,262,1
0,0,0,1,0,1,107,238,1
1,0,0,0,1,1,252,256,1
0,0,0,0,1,1,93,151,1
1,1,0,0,0,1,407,387,1
0,1,0,0,0,1,0,1258,0
0,1,0,0,0,0,80,1261,1
1,0,0,1,0,0,142,418,1
1,0,0,0,1,1,1854,1116,1
1,0,0,0,1,0,11,0,1
0,1,0,0,0,1,0,43,0
1,0,1,0,0,1,0,25,0
1,0,0,1,0,0,0,166,0
0,1,0,0,0,1,36,77,1
1,1,0,0,0,1,0,506,0
0,1,0,0,0,0,43,0,1
1,0,1,0,0,1,268,3766,1
1,0,1,0,0,1,0,105,0
1,0,0,0,1,1,1701,6991,1
1,0,0,1,0,1,67,12455,1
1,0,0,0,1,1,14,0,1
0,0,0,1,0,1,0,673,0
1,0,1,0,0,1,99,1147,1
1,1,0,0,0,1,0,39,0
0,0,1,0,0,1,0,13,0
0,0,0,1,0,1,0,26,0
0,1,0,0,0,0,0,27,1
1,0,1,0,0,1,901,16217,1
1,1,0,0,0,1,0,2255,0
0,1,0,0,0,0,75,105,1
1,0,1,0,0,1,228,3695,1
1,1,0,0,0,1,0,19,1
1,1,0,0,0,1,109,678,1
0,0,0,1,0,1,58,1593,1
1,1,0,0,0,1,0,117,0
1,0,0,1,0,1,676,7969,1
0,0,0,0,1,1,15,60,1
1,1,0,0,0,1,31,69,1
0,1,0,0,0,0,142,65,1
0,0,0,1,0,1,1156,9414,1
0,0,0,0,1,1,0,69,1
1,0,1,0,0,1,329,1393,1
0,0,0,0,1,0,79,2361,1
0,0,1,0,0,1,0,13,0
0,1,0,0,0,1,0,105,0
1,0,1,0,0,1,538,13226,1
1,0,0,1,0,1,0,196,0
1,0,0,0,1,0,20,0,1
1,0,0,1,0,1,46,120,1
1,0,0,0,1,1,0,76,1
1,0,0,1,0,1,0,1207,0
1,0,0,1,0,0,29,0,1
1,0,1,0,0,1,0,34,1
0,0,0,1,0,1,11,155,1
1,0,1,0,0,1,36,81,1
1,0,0,1,0,1,27,1995,1
1,0,1,0,0,1,0,432,0
1,0,0,0,1,1,0,16,0
1,1,0,0,0,1,0,12,0
1,0,0,1,0,1,23,0,1
1,0,0,1,0,1,20,208,1
1,1,0,0,0,1,0,800,0
0,1,0,0,0,0,26,0,1
1,0,1,0,0,1,0,85,0
0,0,1,0,0,1,21,67,1
0,0,0,1,0,0,0,2148,0
0,1,0,0,0,0,36,38,1
1,0,0,0,1,1,11,30,1
1,0,0,1,0,1,15,0,1
1,0,0,1,0,1,0,12,0
1,0,0,1,0,1,124,816,1
1,0,0,0,1,1,35,63,1
0,0,0,1,0,1,0,79,0
0,0,0,1,0,1,0,672,0
1,0,0,1,0,1,106,2380,1
1,0,0,0,1,1,17,13,1
1,0,0,1,0,1,0,458,0
1,0,1,0,0,1,0,1219,0
1,1,0,0,0,0,0,88,1
1,0,0,1,0,1,151,747,1
1,1,0,0,0,0,18,0,1
0,0,1,0,0,1,0,209,0
0,1,0,0,0,0,178,2859,1
1,0,0,1,0,1,14,2692,1
1,0,0,0,1,1,0,72,1
0,0,0,1,0,0,161,3968,1
0,0,0,1,0,0,0,232,0
1,0,0,1,0,1,79,86,1
0,0,0,0,1,1,619,5928,1
0,0,1,0,0,1,1925,1664,1
0,1,0,0,0,1,12,128,1
1,0,0,1,0,0,11,0,1
0,1,0,0,0,1,18,558,1
0,0,1,0,0,0,0,29,0
1,0,0,1,0,1,17,38,1
1,0,0,0,1,1,0,1008,0
0,0,0,1,0,1,0,11,0
1,1,0,0,0,1,0,12,0
1,0,0,1,0,1,85,4154,1
1,0,1,0,0,1,0,191,0
1,0,0,1,0,1,17,154,1
0,1,0,0,0,1,34,1567,1
1,1,0,0,0,1,0,413,0
0,0,0,0,1,0,0,12,0
1,0,0,1,0,1,0,29,0
0,1,0,0,0,1,0,69,0
0,0,0,1,0,0,15,0,1
1,0,0,1,0,1,0,1287,0
1,0,0,1,0,1,12,2285,1
1,0,0,0,1,1,0,24,0
1,0,0,1,0,1,0,29,0
0,0,0,1,0,1,0,12,0
1,0,1,0,0,1,0,13,0
1,0,0,1,0,1,13,1652,1
0,1,0,0,0,0,13,25,1
0,1,0,0,0,1,0,70,0
1,0,1,0,0,1,0,1103,0
1,0,1,0,0,1,0,44,0
1,0,0,1,0,1,1559,23170,1
1,0,0,0,1,1,18,1443,1
0,0,1,0,0,1,0,12,1
1,0,1,0,0,0,24,252,1
1,0,1,0,0,1,0,385,1
0,0,0,1,0,0,0,70,1
0,1,0,0,0,1,0,13,0
1,1,0,0,0,1,0,13,0
0,0,0,1,0,0,0,19,0
1,0,0,1,0,1,79,1443,1
0,1,0,0,0,1,54,4917,1
0,0,1,0,0,1,254,3807,1
1,0,0,1,0,1,0,1410,0
1,1,0,0,0,1,0,11,0
1,1,0,0,0,1,0,2260,1
0,0,0,1,0,1,75,1841,1
1,0,0,0,1,1,0,17,0
0,0,0,1,0,0,0,60,0
1,1,0,0,0,1,154,8764,1
1,0,0,0,1,0,200,2169,1
1,0,0,1,0,1,33,133,1
0,0,0,1,0,1,0,131,0
0,0,0,1,0,1,0,138,0
1,1,0,0,0,1,0,29,0
1,0,1,0,0,1,65,3198,1
0,0,0,0,1,1,0,61,0
0,0,0,1,0,0,0,80,0
1,0,0,0,1,1,0,443,0
1,0,0,1,0,1,169,2937,1
0,1,0,0,0,1,0,11,0
0,0,0,0,1,1,0,14,0
1,0,0,0,1,1,15,137,1
0,1,0,0,0,0,0,13,0
0,0,0,1,0,1,0,21,0
0,0,0,1,0,0,13,333,1
1,1,0,0,0,1,35,26,1
1,0,0,1,0,1,0,15,0
1,0,0,1,0,1,0,30,0
1,1,0,0,0,1,161,4976,1
1,1,0,0,0,1,46,652,1
1,0,0,1,0,0,15,71,1
1,0,1,0,0,0,13,352,1
0,0,0,1,0,1,0,35,1
1,1,0,0,0,1,12,14844,1
1,0,0,1,0,1,0,2446,1
1,0,0,0,1,1,0,24,0
1,1,0,0,0,1,0,11,1
1,0,1,0,0,1,123,2003,1
1,0,0,1,0,1,170,3606,1
1,1,0,0,0,1,0,1163,0
1,1,0,0,0,1,0,36,0
1,1,0,0,0,1,0,333,0
0,1,0,0,0,1,65,701,1
1,0,0,1,0,1,0,410,0
1,1,0,0,0,1,126,35,1
1,1,0,0,0,1,0,770,0
1,1,0,0,0,1,842,24762,1
1,0,1,0,0,1,0,102,0
1,0,0,1,0,0,29,0,1
0,1,0,0,0,1,0,11,1
0,0,0,0,1,0,0,499,0
1,0,0,0,1,0,0,177,0
1,0,0,0,1,1,32,35,1
1,0,1,0,0,1,42,1642,1
1,0,0,1,0,1,711,4904,1
1,0,0,1,0,1,0,1002,1
1,0,0,1,0,1,0,758,0
0,0,0,1,0,0,0,160,0
1,0,0,1,0,1,777,1063,1
0,1,0,0,0,1,12,610,1
1,1,0,0,0,1,0,326,0
1,0,0,1,0,1,113,3561,1
1,0,1,0,0,1,14,39,1
1,1,0,0,0,1,21,268,1
1,0,1,0,0,1,0,14,0
1,0,0,1,0,1,0,943,0
1,0,0,1,0,1,121,245,1
1,0,1,0,0,1,27,904,1
1,0,0,1,0,1,0,751,0
1,0,0,0,1,1,0,893,0
0,0,1,0,0,1,45,31,1
1,0,0,1,0,0,59,146,1
0,0,1,0,0,1,13,0,1
0,0,0,1,0,1,0,96,0
0,1,0,0,0,1,0,33,0
1,0,0,1,0,0,153,179,1
1,0,0,0,0,0,0,104,0
1,0,0,1,0,1,0,42,0
1,0,1,0,0,1,0,1447,0
0,0,0,1,0,0,0,150,0
1,0,1,0,0,1,512,9742,1
0,0,0,0,1,1,89,508,1
1,0,1,0,0,1,22,176,1
0,0,0,1,0,0,26,84,1
1,0,1,0,0,1,32,36,1
1,0,1,0,0,1,15,234,1
1,0,0,1,0,1,0,109,1
1,1,0,0,0,1,415,264,1
1,0,1,0,0,1,231,49,1
0,0,0,0,1,0,18,0,1
0,0,1,0,0,0,26,1260,1
1,0,1,0,0,1,25,0,1
0,1,0,0,0,1,0,14,0
0,0,0,1,0,1,0,28,0
1,0,0,0,1,1,0,111,0
1,0,1,0,0,1,437,3768,1
1,0,0,1,0,0,0,59,0
1,0,0,0,1,1,0,406,0
1,0,0,1,0,1,27,0,1
0,0,0,0,1,1,0,36,0
0,0,0,1,0,1,36,55,1
0,0,0,0,1,0,0,14,0
1,0,1,0,0,1,0,105,0
1,0,0,1,0,1,0,522,0
0,0,0,0,1,1,0,68,1
1,0,0,1,0,1,23,66,1
1,1,0,0,0,1,0,30,0
1,0,0,1,0,1,0,188,0
1,0,0,0,1,1,0,142,0
1,0,0,1,0,1,34,197,1
0,0,1,0,0,1,22,236,1
1,0,0,1,0,1,17,0,1
1,1,0,0,0,1,82,3634,1
0,0,0,0,1,1,0,178,0
1,0,0,0,1,1,54,331,1
1,0,0,1,0,1,0,14,0
0,1,0,0,0,1,276,5523,1
1,1,0,0,0,1,0,24,0
1,0,0,1,0,1,0,147,0
1,0,1,0,0,1,0,702,0
1,1,0,0,0,1,0,23,1
1,0,0,0,1,1,158,2946,1
1,0,1,0,0,1,394,6658,1
1,1,0,0,0,1,0,24,0
1,0,0,1,0,1,164,281,1
1,0,0,1,0,1,0,664,0
0,0,0,0,1,0,12,0,1
0,0,1,0,0,1,0,969,0
1,0,1,0,0,1,86,1952,1
1,0,0,1,0,0,16,432,1
0,0,0,1,0,1,0,43,0
0,1,0,0,0,1,0,73,0
0,0,0,1,0,0,72,46,1
0,0,1,0,0,0,156,3386,1
0,0,0,0,1,1,49,2263,1
0,0,1,0,0,0,0,5297,0
0,1,0,0,0,0,0,78,0
0,0,1,0,0,1,0,11,0
1,0,0,1,0,1,152,9407,1
1,0,0,0,1,0,148,774,1
1,0,0,1,0,1,0,48,0
0,0,0,1,0,0,12,0,1
1,0,1,0,0,1,48,688,1
1,0,0,0,1,0,0,36,0
1,0,0,0,1,1,13,0,1
1,0,0,1,0,1,0,34,0
0,0,0,1,0,0,30,1623,1
0,0,0,1,0,1,11,1183,1
0,0,0,1,0,0,0,2510,0
1,0,0,1,0,1,24,277,1
1,0,0,0,1,1,14,0,1
1,1,0,0,0,1,12,1384,1
0,1,0,0,0,0,24,25,1
0,0,0,1,0,0,40,212,1
0,0,0,1,0,0,0,860,0
0,0,1,0,0,0,0,13,0
0,0,1,0,0,0,28,47,1
0,0,1,0,0,1,49,27,1
1,0,0,0,1,1,40,1414,1
1,0,1,0,0,1,71,47,1
1,0,0,1,0,0,120,19,1
0,1,0,0,0,1,0,15,0
1,0,0,1,0,1,12,0,1
0,1,0,0,0,1,19,0,1
1,0,1,0,0,1,57,55,1
0,0,0,0,1,1,49,217,1
0,0,0,0,1,1,0,11,0
0,1,0,0,0,1,0,50,0
1,0,0,1,0,0,75,2140,1
1,1,0,0,0,1,73,154,1
0,0,1,0,0,1,16,295,1
0,0,0,0,1,0,0,17,0
1,1,0,0,0,1,27,40,1
0,0,0,1,0,0,192,152,1
0,0,0,1,0,1,0,13,1
1,0,1,0,0,1,21,1015,1
1,0,0,0,1,1,0,16,0
1,0,0,0,1,1,18,44,1
0,0,1,0,0,0,17,0,1
0,1,0,0,0,0,0,449,0
1,0,0,1,0,1,24,84,1
1,1,0,0,0,1,0,2294,0
0,0,1,0,0,1,0,479,0
1,0,0,1,0,1,16,5351,1
0,0,1,0,0,1,63,4867,1
0,1,0,0,0,1,63,41,1
1,0,1,0,0,1,377,8772,1
1,1,0,0,0,1,0,138,0
1,1,0,0,0,1,0,61,0
1,0,1,0,0,1,0,87,0
0,0,0,1,0,1,12,12,1
0,1,0,0,0,1,0,606,0
0,1,0,0,0,0,24,2406,1
0,0,1,0,0,1,0,95,0
1,0,0,1,0,1,0,21,0
1,0,0,1,0,1,69,159,1
1,0,0,0,1,1,463,5698,1
0,1,0,0,0,0,12,0,1
1,0,1,0,0,1,84,2372,1
1,0,0,1,0,1,0,2382,1
1,1,0,0,0,0,21,0,1
1,0,1,0,0,1,129,1744,1
1,1,0,0,0,1,0,152,0
1,0,0,1,0,1,34,59,1
0,0,0,0,1,0,63,72,1
1,0,0,1,0,1,28,1523,1
1,0,0,1,0,1,32,109,1
1,0,0,1,0,1,0,2132,1
0,1,0,0,0,1,0,1743,0
0,0,0,0,1,1,0,23,0
1,1,0,0,0,1,0,41,0
1,1,0,0,0,1,1026,866,1
1,0,1,0,0,1,58,1500,1
0,1,0,0,0,1,0,20,1
0,0,0,1,0,0,15,31,1
0,0,0,1,0,1,71,24,1
0,1,0,0,0,0,95,13,1
1,1,0,0,0,0,46,191,1
1,1,0,0,0,1,0,50,0
0,1,0,0,0,0,120,132,1
1,0,0,1,0,1,24,53,1
1,0,0,1,0,1,70,1717,1
0,0,0,0,1,1,41,0,1
1,0,0,1,0,1,0,7310,0
1,0,0,1,0,1,23,985,1
1,0,0,1,0,1,23,2000,1
1,0,1,0,0,1,0,176,0
1,0,1,0,0,1,527,5990,1
1,0,0,0,1,1,29,994,1
0,1,0,0,0,1,0,96,0
1,0,0,0,1,1,0,120,0
0,0,1,0,0,1,804,17444,1
1,0,0,0,1,1,0,206,0
1,0,0,0,1,1,91,157,1
1,0,0,1,0,1,0,35,0
1,0,0,0,1,1,53,39,1
1,0,0,1,0,1,0,1010,0
1,0,1,0,0,0,53,0,1
0,0,1,0,0,1,31,393,1
1,0,1,0,0,1,2036,5382,1
0,0,0,1,0,1,53,1687,1
1,0,0,0,1,1,0,1107,0
1,0,1,0,0,0,57,37,1
1,0,1,0,0,1,338,432,1
1,0,0,1,0,1,0,333,0
1,0,0,1,0,1,0,26,0
1,0,0,0,1,1,0,149,0
0,0,0,0,1,1,0,444,0
0,0,1,0,0,0,41,11,1
1,0,0,1,0,1,0,4662,0
1,0,0,1,0,1,0,586,0
1,0,0,0,1,1,15,218,1
1,0,0,1,0,0,351,2551,1
1,1,0,0,0,1,170,12,1
0,0,0,1,0,1,0,2103,0
1,0,0,1,0,1,4271,4638,1
1,0,1,0,0,1,59,0,1
1,1,0,0,0,0,86,140,1
1,0,0,0,1,0,54,919,1
0,0,0,1,0,1,0,379,0
1,1,0,0,0,1,53,62,1
0,0,0,1,0,0,0,16,0
1,0,0,1,0,1,0,121,0
1,0,0,1,0,1,2672,18922,1
0,0,0,0,1,1,0,769,0
0,1,0,0,0,0,15,0,1
1,0,0,1,0,1,73,401,1
0,0,1,0,0,0,0,32,0
0,0,1,0,0,0,0,12,0
1,0,1,0,0,1,0,23,0
